Total_Permits_Group,PredictedProb,LL,UL,Grouping_Var,Grouping
185,0.093531382,0.068219052,0.12800439,Female,Gender
192,0.104962441,0.07422626,0.146911748,Female,Gender
199,0.073711074,0.052474418,0.1033983,Female,Gender
206,0.080510523,0.055574846,0.116218204,Female,Gender
213,0.096177508,0.06857454,0.133851607,Female,Gender
220,0.089208238,0.064680832,0.122854565,Female,Gender
227,0.097658473,0.068602073,0.137890204,Female,Gender
234,0.092218194,0.064943498,0.129647825,Female,Gender
241,0.117762379,0.086778689,0.157835728,Female,Gender
248,0.09568815,0.069798132,0.130194872,Female,Gender
255,0.10858733,0.076075178,0.153277219,Female,Gender
262,0.092740322,0.066561445,0.127742875,Female,Gender
269,0.079503687,0.057452267,0.109384659,Female,Gender
276,0.100353266,0.07150641,0.139217857,Female,Gender
283,0.07908165,0.055161188,0.11395434,Female,Gender
290,0.077725257,0.056408737,0.106249819,Female,Gender
297,0.060115908,0.043355359,0.083660657,Female,Gender
304,0.078744988,0.054062485,0.113294877,Female,Gender
311,0.074962059,0.05292714,0.105124299,Female,Gender
318,0.07797141,0.054077305,0.111444394,Female,Gender
325,0.101637746,0.071282289,0.143208988,Female,Gender
332,0.07153719,0.049656313,0.102095759,Female,Gender
339,0.091152525,0.065168464,0.12574494,Female,Gender
346,0.083028535,0.057507871,0.118079728,Female,Gender
353,0.142891676,0.080851608,0.240539639,Female,Gender
360,0.098652712,0.066544439,0.143602621,Female,Gender
367,0.043135665,0.02548063,0.072681773,Female,Gender
374,0.075205495,0.0451508,0.122412521,Female,Gender
381,0.055967236,0.036468061,0.084974166,Female,Gender
388,0.098781443,0.067596368,0.142267582,Female,Gender
395,0.090467542,0.06145808,0.132257431,Female,Gender
402,0.060859644,0.041291834,0.088923755,Female,Gender
409,0.092827773,0.062280683,0.13600291,Female,Gender
416,0.083920304,0.054169991,0.128217964,Female,Gender
423,0.090367775,0.061180575,0.131353109,Female,Gender
430,0.090118252,0.063052515,0.127272466,Female,Gender
437,0.095313889,0.068932552,0.130566141,Female,Gender
444,0.069264627,0.044102911,0.107631666,Female,Gender
451,0.086346008,0.052143827,0.140811872,Female,Gender
458,0.061464971,0.038525813,0.096558016,Female,Gender
465,0.084899516,0.058040944,0.123125444,Female,Gender
472,0.054935106,0.033400487,0.089495543,Female,Gender
479,0.064499241,0.037859713,0.108085927,Female,Gender
486,0.06337632,0.039540536,0.100082088,Female,Gender
493,0.07233518,0.045797667,0.112676173,Female,Gender
500,0.091452826,0.054949662,0.147844037,Female,Gender
507,0.102706923,0.056442338,0.179672469,Female,Gender
514,0.078956081,0.048447567,0.126180703,Female,Gender
521,0.089048132,0.058600708,0.133410373,Female,Gender
528,0.0646973,0.039017691,0.10551021,Female,Gender
535,0.062610478,0.028279534,0.136096353,Female,Gender
542,0.091390482,0.052768133,0.154038471,Female,Gender
549,0.054102428,0.032497414,0.088602483,Female,Gender
556,0.058810455,0.03634235,0.093705761,Female,Gender
563,0.067740027,0.040006512,0.11279857,Female,Gender
570,0.073368195,0.043162834,0.122333415,Female,Gender
577,0.102968957,0.065294999,0.160695938,Female,Gender
584,0.122313245,0.063364316,0.223043886,Female,Gender
591,0.062527465,0.035269434,0.108616031,Female,Gender
598,0.071310938,0.0442104,0.113649736,Female,Gender
605,0.170423174,0.113502251,0.248543624,Female,Gender
612,0.092748297,0.056742588,0.147534984,Female,Gender
619,0.075387331,0.043527676,0.127466256,Female,Gender
626,0.110694733,0.060752007,0.194847686,Female,Gender
633,0.057113152,0.034624697,0.092473261,Female,Gender
640,0.035781899,0.021925778,0.058658124,Female,Gender
647,0.045639732,0.026004777,0.079189919,Female,Gender
654,0.064892464,0.037599717,0.111090551,Female,Gender
661,0.162488364,0.090346288,0.27028984,Female,Gender
668,0.048410096,0.031567153,0.073759453,Female,Gender
675,0.089801255,0.043384599,0.176705256,Female,Gender
682,0.071124894,0.046360551,0.108093235,Female,Gender
689,0.084190983,0.050637292,0.136775084,Female,Gender
696,0.070755028,0.044414782,0.110924611,Female,Gender
703,0.076505494,0.049072302,0.117477451,Female,Gender
710,0.098045408,0.056171846,0.166062515,Female,Gender
717,0.060723655,0.039072986,0.09320651,Female,Gender
724,0.040185633,0.024365373,0.065677521,Female,Gender
731,0.061012306,0.039607032,0.092859355,Female,Gender
738,0.055805363,0.035942507,0.085669565,Female,Gender
745,0.049436688,0.03086355,0.078283968,Female,Gender
752,0.06532055,0.039493069,0.106086968,Female,Gender
759,0.130289117,0.084181709,0.196313091,Female,Gender
766,0.055169663,0.033869202,0.088637057,Female,Gender
780,0.086657798,0.052019644,0.14093148,Female,Gender
787,0.077400222,0.04805684,0.122320711,Female,Gender
794,0.104586352,0.065829429,0.162207795,Female,Gender
801,0.054368986,0.033611564,0.086807455,Female,Gender
808,0.077451787,0.045886,0.128321239,Female,Gender
815,0.106162833,0.061761767,0.176480083,Female,Gender
843,0.082287595,0.046945791,0.140318257,Female,Gender
850,0.095525395,0.055716684,0.162452723,Female,Gender
885,0.07010897,0.035501065,0.134145023,Female,Gender
899,0.078327079,0.044917973,0.13391914,Female,Gender
1032,0.200312898,0.096516803,0.370018045,Female,Gender
1270,0.376932419,0.143536215,0.685905616,Female,Gender
NA,0.253440728,0.073892088,0.590901877,Female,Gender
3,0.141395915,0.10084599,0.196610961,Male,Gender
10,0.112080553,0.074231046,0.166149269,Male,Gender
17,0.141835897,0.107944742,0.184854628,Male,Gender
24,0.104301415,0.071065208,0.153013938,Male,Gender
31,0.128370236,0.098102725,0.167655862,Male,Gender
38,0.117384863,0.087803979,0.156453759,Male,Gender
45,0.112197282,0.083930669,0.148762087,Male,Gender
52,0.129871656,0.09638237,0.174049221,Male,Gender
59,0.126497051,0.095050283,0.167423113,Male,Gender
66,0.130272086,0.095136702,0.177322288,Male,Gender
73,0.129882317,0.097460495,0.172692914,Male,Gender
80,0.122802627,0.090708604,0.166101617,Male,Gender
87,0.125757023,0.094574825,0.166217564,Male,Gender
94,0.133551991,0.09935708,0.17856008,Male,Gender
101,0.12849922,0.096089372,0.171338268,Male,Gender
108,0.127486546,0.094968634,0.171087473,Male,Gender
115,0.120778758,0.09147854,0.159249967,Male,Gender
122,0.122795053,0.093705782,0.161043594,Male,Gender
129,0.131209528,0.097953261,0.175455753,Male,Gender
136,0.114054228,0.085679736,0.151993526,Male,Gender
143,0.12327621,0.092595723,0.164194912,Male,Gender
150,0.119273393,0.088960405,0.158972046,Male,Gender
157,0.114589932,0.085606695,0.152474113,Male,Gender
