Des_Age,PredictedProb,LL,UL,Grouping_Var,Grouping
55,0.10223123,0.074733303,0.138727391,Male,Gender
56,0.095327154,0.068623604,0.132866108,Male,Gender
57,0.094629194,0.067109279,0.133024926,Male,Gender
58,0.099176639,0.07287184,0.135361729,Male,Gender
59,0.093616457,0.065282978,0.133922548,Male,Gender
60,0.088739362,0.064360195,0.122464469,Male,Gender
61,0.084481911,0.061009003,0.117218985,Male,Gender
62,0.090831736,0.064983359,0.126445725,Male,Gender
63,0.086157257,0.059983073,0.124118408,Male,Gender
64,0.081722184,0.057339908,0.116912204,Male,Gender
65,0.079454289,0.056324938,0.112684288,Male,Gender
66,0.083073911,0.056786204,0.122330062,Male,Gender
67,0.085412795,0.061186958,0.119121402,Male,Gender
68,0.068075854,0.048176598,0.096490523,Male,Gender
69,0.069828941,0.049113441,0.100693788,Male,Gender
70,0.067305047,0.047393185,0.096326068,Male,Gender
71,0.074166604,0.053559629,0.103689989,Male,Gender
72,0.06806897,0.048438606,0.095730515,Male,Gender
73,0.079306811,0.055075726,0.114113777,Male,Gender
74,0.064920158,0.045134341,0.094516855,Male,Gender
75,0.073690975,0.054185901,0.099694257,Male,Gender
76,0.06935918,0.048546672,0.098551136,Male,Gender
77,0.065192458,0.045124175,0.094069212,Male,Gender
78,0.070054589,0.047754969,0.10288335,Male,Gender
79,0.070509995,0.051568993,0.095817191,Male,Gender
80,0.094947324,0.061573743,0.145127974,Male,Gender
81,0.056400577,0.038704812,0.08252043,Male,Gender
82,0.065449065,0.042505121,0.1001187,Male,Gender
83,0.060307659,0.04182122,0.087474064,Male,Gender
84,0.070010403,0.050120983,0.097077362,Male,Gender
85,0.061396682,0.043117687,0.087562544,Male,Gender
86,0.036929948,0.020408256,0.065510309,Male,Gender
87,0.055768219,0.036023966,0.087845068,Male,Gender
88,0.047535022,0.033114268,0.067797595,Male,Gender
89,0.04596367,0.026799695,0.083074615,Male,Gender
30,0.155826179,0.021790302,0.604684944,Trans,Gender
32,0.14842184,0.020614808,0.590697555,Trans,Gender
45,0.089110402,0.011521955,0.45086431,Trans,Gender
46,0.140593982,0.017724769,0.597288036,Trans,Gender
50,0.116884244,0.015735186,0.52284688,Trans,Gender
51,0.121312109,0.016196592,0.536559391,Trans,Gender
52,0.103678834,0.013803166,0.488740987,Trans,Gender
54,0.124172411,0.016676575,0.542382198,Trans,Gender
15,0.099308563,0.058543028,0.163529861,No,High_School_Grad
16,0.142156189,0.102961182,0.194240475,No,High_School_Grad
17,0.165624231,0.123185636,0.220156491,No,High_School_Grad
18,0.16142889,0.122900488,0.211734929,No,High_School_Grad
19,0.162279029,0.122534063,0.214132116,No,High_School_Grad
20,0.160584906,0.121955928,0.209922911,No,High_School_Grad
