Rent_Groups,PredictedProb,LL,UL,Grouping_Var,Grouping
1644,0.062150924,0.040710601,0.09496434,Disabled,Disability_Status
1649,0.078257976,0.054652267,0.110870195,Disabled,Disability_Status
1654,0.103907753,0.073098744,0.145306845,Disabled,Disability_Status
1659,0.048128518,0.034234448,0.067268734,Disabled,Disability_Status
1664,0.024406078,0.016424132,0.036124689,Disabled,Disability_Status
1669,0.107917543,0.076568966,0.150015693,Disabled,Disability_Status
1684,0.09890764,0.075382032,0.128752869,Disabled,Disability_Status
1694,0.04401294,0.030898481,0.062335623,Disabled,Disability_Status
1699,0.043040302,0.027939747,0.065818431,Disabled,Disability_Status
1704,0.037427485,0.021256864,0.065081515,Disabled,Disability_Status
1709,0.088338457,0.061465946,0.126768457,Disabled,Disability_Status
1714,0.073050265,0.046269312,0.116852817,Disabled,Disability_Status
1719,0.05030105,0.0322681,0.07760353,Disabled,Disability_Status
1724,0.080565833,0.057995918,0.110693684,Disabled,Disability_Status
1739,0.056678049,0.033646567,0.093942262,Disabled,Disability_Status
1754,0.076607207,0.055592168,0.104685793,Disabled,Disability_Status
1759,0.056910824,0.04193094,0.076813227,Disabled,Disability_Status
1764,0.092814035,0.068451305,0.124687174,Disabled,Disability_Status
1769,0.072014977,0.051509052,0.10005371,Disabled,Disability_Status
1779,0.046506862,0.031997638,0.06713665,Disabled,Disability_Status
1784,0.129409654,0.089813154,0.182954299,Disabled,Disability_Status
1789,0.066911198,0.045806014,0.096754595,Disabled,Disability_Status
1804,0.061205576,0.038384136,0.097057728,Disabled,Disability_Status
1809,0.07131804,0.04516249,0.111774712,Disabled,Disability_Status
1829,0.169161161,0.124164477,0.226252017,Disabled,Disability_Status
1834,0.059365913,0.039898982,0.087465592,Disabled,Disability_Status
1839,0.036491105,0.023575622,0.05607576,Disabled,Disability_Status
1849,0.047858372,0.032862487,0.069207539,Disabled,Disability_Status
1869,0.078661674,0.05276817,0.115393709,Disabled,Disability_Status
1874,0.078954974,0.051283848,0.119673195,Disabled,Disability_Status
1909,0.041347894,0.028465301,0.059728295,Disabled,Disability_Status
1939,0.096324518,0.068320573,0.134154194,Disabled,Disability_Status
1944,0.057522732,0.040420649,0.08124808,Disabled,Disability_Status
1949,0.056509136,0.032337903,0.098164265,Disabled,Disability_Status
1954,0.031846461,0.01489833,0.066767798,Disabled,Disability_Status
1959,0.033927363,0.020413435,0.055877349,Disabled,Disability_Status
1969,0.120118997,0.079966568,0.176563448,Disabled,Disability_Status
1974,0.10690198,0.068434489,0.163204129,Disabled,Disability_Status
1979,0.084484413,0.055583437,0.125837465,Disabled,Disability_Status
1984,0.099527016,0.073980628,0.132631397,Disabled,Disability_Status
1989,0.013020655,0.00579063,0.029014448,Disabled,Disability_Status
1999,0.066357657,0.04370901,0.099520785,Disabled,Disability_Status
2024,0.184779349,0.089752834,0.342217401,Disabled,Disability_Status
2029,0.099938952,0.061021171,0.159462325,Disabled,Disability_Status
2039,0.052819706,0.032518387,0.084873713,Disabled,Disability_Status
2059,0.086519973,0.05469194,0.134240065,Disabled,Disability_Status
2064,0.037790075,0.02421631,0.058772715,Disabled,Disability_Status
2069,0.058956782,0.037379381,0.091801974,Disabled,Disability_Status
2074,0.048053839,0.03155204,0.072539672,Disabled,Disability_Status
2079,0.080106534,0.056254775,0.114145411,Disabled,Disability_Status
2084,0.060203113,0.03917777,0.091525233,Disabled,Disability_Status
2089,0.055458676,0.036124059,0.084492094,Disabled,Disability_Status
2099,0.090799288,0.064998174,0.125394341,Disabled,Disability_Status
2104,0.112541356,0.066114041,0.185109058,Disabled,Disability_Status
2114,0.076920456,0.046559281,0.124471134,Disabled,Disability_Status
2129,0.07870219,0.051633682,0.118192608,Disabled,Disability_Status
2134,0.098750385,0.058611282,0.161657749,Disabled,Disability_Status
2139,0.079782032,0.05258732,0.119269634,Disabled,Disability_Status
